Unique ID,Site Name,Online Year,Turbine Manufacturer,Turbine Model,Tower Type,Turbine MW,Total Height,Tower/Hub Height,Blade Length,Rotor Diameter,Rotor Swept Area,Latitude-Decimal Degrees,Longitude-Decimal Degrees,State,County,Attribute Confidence,Location Confidence,WENDI Site Name,EIA Site Name,FAA-JDATE,FAA-AGL,FAA-ORS,Image Source Name,Image Source Year,Comments
31719,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3773,-100.6272,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012096,130,48-020070,Bing Maps Aerial,unknown,AGL and total height do not match
31720,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3778,-100.6303,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020069,Bing Maps Aerial,unknown,AGL and total height do not match
31723,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3797,-100.6319,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020068,Bing Maps Aerial,unknown,AGL and total height do not match
31724,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3808,-100.6071,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020065,Bing Maps Aerial,unknown,AGL and total height do not match
31725,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3808,-100.6103,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020064,Bing Maps Aerial,unknown,AGL and total height do not match
31726,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3811,-100.6342,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020067,Bing Maps Aerial,unknown,AGL and total height do not match
31727,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3827,-100.6399,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020066,Bing Maps Aerial,unknown,AGL and total height do not match
31733,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3835,-100.6118,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020063,Bing Maps Aerial,unknown,AGL and total height do not match
31734,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3849,-100.6148,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020062,Bing Maps Aerial,unknown,AGL and total height do not match
31735,Roscoe Wind Farm 2 (Champion),2008,Siemens,SWT2.3_93,monopole,2.3,126.5,80,45,93,6792.9,32.3861,-100.6172,TX,Nolan,2,2,Champion (Roscoe II),unknown,2012097,130,48-020061,Bing Maps Aerial,unknown,AGL and total height do not match
