Unique ID,Site Name,Online Year,Turbine Manufacturer,Turbine Model,Tower Type,Turbine MW,Total Height,Tower/Hub Height,Blade Length,Rotor Diameter,Rotor Swept Area,Latitude-Decimal Degrees,Longitude-Decimal Degrees,State,County,Attribute Confidence,Location Confidence,WENDI Site Name,EIA Site Name,FAA-JDATE,FAA-AGL,FAA-ORS,Image Source Name,Image Source Year,Comments
31889,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4298,-100.6639,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2008030,104,48-020211,Bing Maps Aerial,unknown,AGL and total height do not match
31901,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4313,-100.6666,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2008028,104,48-020191,Bing Maps Aerial,unknown,AGL and total height do not match
31904,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.432,-100.6697,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2008030,104,48-020210,Bing Maps Aerial,unknown,AGL and total height do not match
31909,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4331,-100.6737,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2008030,104,48-020209,Bing Maps Aerial,unknown,AGL and total height do not match
31914,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4337,-100.6352,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020186,Bing Maps Aerial,unknown,AGL and total height do not match
31915,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4338,-100.659,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020058,Bing Maps Aerial,unknown,AGL and total height do not match
31917,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4342,-100.6434,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020056,Bing Maps Aerial,unknown,AGL and total height do not match
31920,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4345,-100.6379,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008037,104,48-020247,Bing Maps Aerial,unknown,AGL and total height do not match
31921,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4353,-100.6617,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2007351,104,48-020057,Bing Maps Aerial,unknown,AGL and total height do not match
31923,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4356,-100.6457,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020059,Bing Maps Aerial,unknown,AGL and total height do not match
31925,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4364,-100.6169,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020185,Bing Maps Aerial,unknown,AGL and total height do not match
31926,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4366,-100.6646,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2007351,104,48-020060,Bing Maps Aerial,unknown,AGL and total height do not match
31927,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.437,-100.6488,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020055,Bing Maps Aerial,unknown,AGL and total height do not match
31929,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4372,-100.6676,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2008030,104,48-020208,Bing Maps Aerial,unknown,AGL and total height do not match
31944,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4382,-100.6205,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020184,Bing Maps Aerial,unknown,AGL and total height do not match
31947,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4385,-100.6515,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020054,Bing Maps Aerial,unknown,AGL and total height do not match
31949,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.439,-100.5995,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008037,104,48-020246,Bing Maps Aerial,unknown,AGL and total height do not match
31952,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4396,-100.6234,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020183,Bing Maps Aerial,unknown,AGL and total height do not match
31954,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4397,-100.6545,TX,Nolan,2,2,Champion (Roscoe II),unknown,2007351,104,48-020053,Bing Maps Aerial,unknown,AGL and total height do not match
31956,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4402,-100.6577,TX,Nolan,2,2,Champion (Roscoe II),unknown,2011055,104,48-024537,Bing Maps Aerial,unknown,AGL and total height do not match
31957,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4403,-100.631,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020190,Bing Maps Aerial,unknown,AGL and total height do not match
31958,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4404,-100.6021,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008037,104,48-020245,Bing Maps Aerial,unknown,AGL and total height do not match
31961,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.441,-100.6261,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020182,Bing Maps Aerial,unknown,AGL and total height do not match
31963,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4414,-100.6342,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008028,104,48-020181,Bing Maps Aerial,unknown,AGL and total height do not match
31965,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4415,-100.662,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2007351,104,48-020052,Bing Maps Aerial,unknown,AGL and total height do not match
31966,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4416,-100.5879,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008037,104,48-020242,Bing Maps Aerial,unknown,AGL and total height do not match
31968,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4422,-100.6372,TX,Nolan,2,2,Champion (Roscoe II),unknown,2008030,104,48-020227,Bing Maps Aerial,unknown,AGL and total height do not match
31970,Roscoe Wind Farm 1,2008,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,32.4429,-100.6649,TX,Mitchell,2,2,Champion (Roscoe II),unknown,2007351,104,48-020051,Bing Maps Aerial,unknown,AGL and total height do not match
