Unique ID,Site Name,Online Year,Turbine Manufacturer,Turbine Model,Tower Type,Turbine MW,Total Height,Tower/Hub Height,Blade Length,Rotor Diameter,Rotor Swept Area,Latitude-Decimal Degrees,Longitude-Decimal Degrees,State,County,Attribute Confidence,Location Confidence,WENDI Site Name,EIA Site Name,FAA-JDATE,FAA-AGL,FAA-ORS,Image Source Name,Image Source Year,Comments
31785,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4098,-100.6821,TX,Mitchell,2,2,unknown,unknown,2009348,122,48-023733,NAIP,2012, 
31787,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4105,-100.6791,TX,Mitchell,2,2,unknown,unknown,2009348,122,48-023734,NAIP,2012, 
31792,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4108,-100.6696,TX,Mitchell,2,2,unknown,unknown,2009348,122,48-023735,NAIP,2012, 
31793,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4108,-100.6723,TX,Mitchell,2,2,unknown,unknown,2009349,122,48-023807,NAIP,2012, 
31797,Loraine Wind Park,2010_2011,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4121,-100.6661,TX,Mitchell,2,2,unknown,unknown,2010020,122,48-023921,NAIP,2012,Turbine model based on AGL
31799,Loraine Wind Park,2010_2011,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4128,-100.6631,TX,Mitchell,2,2,unknown,unknown,2012090,122,48-023922,NAIP,2012,Turbine model based on AGL
31812,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4158,-100.668,TX,Mitchell,2,2,unknown,unknown,2009348,122,48-023732,NAIP,2012, 
31824,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4186,-100.6846,TX,Mitchell,2,2,unknown,unknown,2009335,122,48-023707,NAIP,2012, 
31825,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4187,-100.6819,TX,Mitchell,2,2,unknown,unknown,2009335,122,48-023708,NAIP,2012, 
31826,Loraine Wind Park,2009,GE,1.5XLE,monopole,1.5,121.25,80,41.25,82.5,5345.61,32.4188,-100.6793,TX,Mitchell,2,2,unknown,unknown,2009335,122,48-023726,NAIP,2012, 
