PlantID,year,month,PlantName,MonthlyNetgen,AnnualNetgen,C_MW_L,C_MW_R,C_MW_C,MWh_L,MWh_R,MWh_C,month_id,monthyear,daysmonth,CF_R,CF_C,CF_L,season,seasonyear,align_raw,align_spd,align_spd3,perc_raw,perc_spd,perc_spd3,CF_R_hat,CF_R_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no,SettlementPointPrice
56593,2008,Mar,Roscoe Wind Farm LLC,70921,523383.03,0,195,124.2,0,70921,25894,3,3,31,.48884064,.28022355,,2,2,.54169023,.56296039,.59129512,.084014006,.09092427,.089736141,.38987464,.38987464,.79754955,.79754955,-.098966002,-.098966002,
56593,2008,Apr,Roscoe Wind Farm LLC,71212,523383.03,0,195,124.2,0,71212,32789,4,4,30,.50720799,.36666891,,2,2,.53092402,.54176766,.56702507,.069963813,.069843948,.087613851,.45851529,.45851529,.90399855,.90399855,-.048692703,-.048692703,
56593,2008,May,Roscoe Wind Farm LLC,67241,523383.03,0,195,124.2,0,67241,29538,5,5,31,.46347532,.31965873,,2,2,.50043535,.50959611,.52842206,.081947744,.069476902,.06046496,.39089012,.39089012,.84338927,.84338927,-.072585195,-.072585195,
56593,2008,Jun,Roscoe Wind Farm LLC,62111,523383.03,0,195,124.2,0,62111,32219,6,6,30,.44238603,.36029479,,3,3,.52466911,.54261744,.56134826,.053217821,.038203407,.018149927,.44908711,.44908711,1.0151476,1.0151476,.006701082,.006701082,
56593,2008,Jul,Roscoe Wind Farm LLC,36896,523383.03,0,195,124.2,0,36896,23474,7,7,31,.25431487,.25403443,,3,3,.52782506,.53103048,.53811908,.058751531,.059950694,.060715448,.33367768,.33367768,1.3120651,1.3120651,.07936281,.07936281,
56593,2008,Aug,Roscoe Wind Farm LLC,17249,523383.03,0,195,124.2,0,17249,12147,8,8,31,.11889303,.13145421,,3,3,.46251947,.46320686,.46998882,.079893477,.073341638,.060287688,.17636825,.17636825,1.4834197,1.4834197,.057475224,.057475224,
56593,2008,Sep,Roscoe Wind Farm LLC,21971,523383.03,0,195,124.2,0,21971,13886,9,9,30,.1564886,.15528271,,4,4,.4011215,.40289405,.42127475,.018817205,.014410547,.0099601867,.17071,.17071,1.0908781,1.0908781,.0142214,.0142214,
56593,2008,Oct,Roscoe Wind Farm LLC,46415,523383.03,0,195,124.2,0,46415,26580,10,10,31,.31992695,.2876474,,4,4,.52224416,.5250873,.52683079,.07047388,.063011907,.045561496,.35928479,.35928479,1.1230214,1.1230214,.039357841,.039357841,
56593,2008,Nov,Roscoe Wind Farm LLC,49984,523383.03,0,195,124.2,0,49984,27235,11,11,30,.35601139,.3045603,,4,4,.58146352,.58405685,.57360607,.10759494,.090355091,.059279643,.40284926,.40284926,1.1315628,1.1315628,.046837866,.046837866,
56593,2008,Dec,Roscoe Wind Farm LLC,74634,523383.03,0,202,124.2,0,74634,33933,12,12,31,.49660653,.36722121,,1,4,.56691194,.57461351,.59070474,.089498803,.068612866,.04195283,.47289422,.47289422,.95225132,.95225132,-.023712307,-.023712307,
